nombre_negocio,categoria,estado,ciudad,telefono,email,sitio_web,rating,review_count
Rana Abu Bakar,Panadería,Nuevo León,Cadereyta Jiménez,,,,,0
Tentaciones Briz,Panadería,Nuevo León,Cadereyta Jiménez,81 8065 1356,,https://tentacionesbriz.github.io/tentacionesbriz,4.9,8
Tortillas de Harina Mi Pueblo,Panadería,Nuevo León,Cadereyta Jiménez,828 284 7270,,http://www.tortillasmipueblo.com.mx,4.4,100
Vanilla Pastelería,Panadería,Nuevo León,Cadereyta Jiménez,81 2940 6838,,,3,4
"Quesos ""El Ranchito""",Queso/Quesería,Nuevo León,Cadereyta Jiménez,828 105 2877,,,5,12
Dulcería Lupita,Yogurt,Nuevo León,Cadereyta Jiménez,828 284 2144,,,4.6,85
Frutal Yogurt Cadereyta,Yogurt,Nuevo León,Cadereyta Jiménez,,,,,0
Planta El Milagro,Yogurt,Nuevo León,Cadereyta Jiménez,81 1799 4124,,,4.3,9
Sabor &Sazon,Yogurt,Nuevo León,Cadereyta Jiménez,828 457 2642,,,4.7,6
Snack AlaMaiz,Yogurt,Nuevo León,Cadereyta Jiménez,81 8083 3441,,https://www.facebook.com/share/19ffjruw8Q,5,1
Soriana Híper Cadereyta,Yogurt,Nuevo León,Cadereyta Jiménez,81 2466 1854,,https://www.soriana.com,4.1,2339
Yukis la Esquina,Yogurt,Nuevo León,Cadereyta Jiménez,,,,4.7,376
Yukis los Originales,Yogurt,Nuevo León,Cadereyta Jiménez,,,,4.2,5
Abarrotes Y Carniceria Arriaga,Carnicería,Nuevo León,Ciudad Apodaca,8116356234,,,,
Abarrotes Y Carniceria Bega,Carnicería,Nuevo León,Ciudad Apodaca,,,,,
Abarrotes Y Carniceria Cabrera,Carnicería,Nuevo León,Ciudad Apodaca,,,,,
Abarrotes Y Carniceria Daymar,Carnicería,Nuevo León,Ciudad Apodaca,8113618390,,,,
Abarrotes Y Carniceria Gaby,Carnicería,Nuevo León,Ciudad Apodaca,,,,,
Abarrotes Y Carniceria Las Fuentes,Carnicería,Nuevo León,Ciudad Apodaca,,,,,
Abarrotes Y Carniceria Los Cuates,Carnicería,Nuevo León,Ciudad Apodaca,8180804967,,,,
Abarrotes Y Carniceria Ramirez,Carnicería,Nuevo León,Ciudad Apodaca,8111815341,jexcfj@outlook.com,,,
Abarrotes Y Carniceria Trejo,Carnicería,Nuevo León,Ciudad Apodaca,8183850846,,,,
Balderas Super Carnes,Carnicería,Nuevo León,Ciudad Apodaca,81 8386 6429,,,4.4,491
Carnes AA,Carnicería,Nuevo León,Ciudad Apodaca,,,,4.6,140
Carnes Alanis,Carnicería,Nuevo León,Ciudad Apodaca,81 3546 3179,,http://www.carnesalanis.com.mx,4.8,85
Carnes Díaz,Carnicería,Nuevo León,Ciudad Apodaca,81 2944 9870,,,4.9,12
Carnes El Toro Carniceria,Carnicería,Nuevo León,Ciudad Apodaca,,,,,
Carnes Finas San Juan APODACA,Carnicería,Nuevo León,Ciudad Apodaca,81 2046 9900,,http://www.carnessanjuan.com,4.7,1543
Carniceria,Carnicería,Nuevo León,Ciudad Apodaca,,,,,
Carniceria Aguirre,Carnicería,Nuevo León,Ciudad Apodaca,,carniceria.aguirre@hotmail.com,,,
Carniceria Aide,Carnicería,Nuevo León,Ciudad Apodaca,,,,,
Carniceria Bocados Supremos,Carnicería,Nuevo León,Ciudad Apodaca,,joseguadalupemoya@gmail.com,,,
Carniceria Cardoso,Carnicería,Nuevo León,Ciudad Apodaca,8130951863,,,,
Carniceria Chaires,Carnicería,Nuevo León,Ciudad Apodaca,,melania12chaires@hotmail.com,,,
Carniceria Chavez,Carnicería,Nuevo León,Ciudad Apodaca,,,,,
Carnicería El Rey Norteño Apodaca,Carnicería,Nuevo León,Ciudad Apodaca,,,https://www.facebook.com/share/1CELSpTE6k,4.6,47
Carnicería La Principal,Carnicería,Nuevo León,Ciudad Apodaca,81 2912 4436,,,4.6,53
Carnicería María Cristina (suc Álamos),Carnicería,Nuevo León,Ciudad Apodaca,81 8321 4540,,http://www.carniceriamariacristina.com,4.6,960
Delicarnes,Carnicería,Nuevo León,Ciudad Apodaca,81 3671 4496,,,4.5,213
El Chicha,Carnicería,Nuevo León,Ciudad Apodaca,81 8321 5991,,,4.7,136
GM Súper Carnes Mezquital,Carnicería,Nuevo León,Ciudad Apodaca,81 8314 0444,,http://www.gmsupercarnes.com,4.4,543
JC Carnes SA DE CV,Carnicería,Nuevo León,Ciudad Apodaca,81 8240 5109,,https://www.facebook.com/jccarnes,4.4,112
JT CARNES suc. Apodaca,Carnicería,Nuevo León,Ciudad Apodaca,81 1086 1557,,http://jtcarnes.com.mx,4.7,613
Regio Carnes,Carnicería,Nuevo León,Ciudad Apodaca,81 2745 6624,,,4.6,117
SUPER CARNES MURILLO,Carnicería,Nuevo León,Ciudad Apodaca,81 4161 2462,,,4.5,165
Steak Center Mezquital,Carnicería,Nuevo León,Ciudad Apodaca,,,http://www.steakcenter.com.mx,4.8,22
Super Carnes Murillo,Carnicería,Nuevo León,Ciudad Apodaca,81 4161 2462,,,4.4,83
Super Carnes Valdez,Carnicería,Nuevo León,Ciudad Apodaca,81 8314 3133,,http://www.supercarnesvaldez.com,4.5,490
Súper Carnes Juanjo Jr.,Carnicería,Nuevo León,Ciudad Apodaca,81 8243 2275,,,4.3,156
Dulces Regionales Dayana,Leche,Nuevo León,Ciudad Apodaca,81 1655 4926,,,4.4,285
Especias Mty,Leche,Nuevo León,Ciudad Apodaca,81 1745 1139,,https://www.facebook.com/Especias-Mty-100953997967952,3.7,3
Los Canastos – Apodaca,Leche,Nuevo León,Ciudad Apodaca,,,https://www.loscanastos.me,,0
Ya Abrimos,Leche,Nuevo León,Ciudad Apodaca,,,,,0
Lácteos Huinala,Lácteos,Nuevo León,Ciudad Apodaca,81 8243 4019,,,4.1,230
Quesos Chi-K Miguel Aleman,Lácteos,Nuevo León,Ciudad Apodaca,81 1351 2409,,http://www.quesoschik.com,4.6,80
Quesos de Agua Fría,Lácteos,Nuevo León,Ciudad Apodaca,81 8999 9898,,,4.3,4
Venta de productos lácteos Agua fría,Lácteos,Nuevo León,Ciudad Apodaca,81 1089 4029,,https://lacteosaguafria.com,3,2
Casa de Pan,Panadería,Nuevo León,Ciudad Apodaca,81 8453 0321,,,4.7,203
Caty Pastelería Apodaca,Panadería,Nuevo León,Ciudad Apodaca,81 8989 6889,,http://www.pasteleriacaty.com.mx,4.6,1269
La Casa Del Pan Panaderia Y Pasteleria,Panadería,Nuevo León,Ciudad Apodaca,,,,,
La Malinxe,Panadería,Nuevo León,Ciudad Apodaca,81 1870 7701,,https://www.facebook.com/LaMalinxe,4.3,243
La Postreria 77 | Apodaca,Panadería,Nuevo León,Ciudad Apodaca,81 2474 4950,,http://www.lapostreria77.com,4.5,951
"PANADERÍA ""Santa Fe""",Panadería,Nuevo León,Ciudad Apodaca,,,https://www.facebook.com/profile.php?id=100063455303875&mibextid=LQQJ4d,4.6,91
PANADERÍA AZTECA,Panadería,Nuevo León,Ciudad Apodaca,81 8098 5523,,,4.3,185
Panaderia,Panadería,Nuevo León,Ciudad Apodaca,,,,,
Panaderia Azteca,Panadería,Nuevo León,Ciudad Apodaca,,,,,
Panaderia Beti,Panadería,Nuevo León,Ciudad Apodaca,8114146240,,,,
Panaderia Castaño,Panadería,Nuevo León,Ciudad Apodaca,,panaderiapj@jahuewh.mx,,,
Panaderia Cristofer,Panadería,Nuevo León,Ciudad Apodaca,,,,,
Panaderia Don Pancho,Panadería,Nuevo León,Ciudad Apodaca,8127096011,,,,
Panaderia Doña Sarita,Panadería,Nuevo León,Ciudad Apodaca,,,,,
Panaderia Dulce Leche,Panadería,Nuevo León,Ciudad Apodaca,,,,,
Panaderia El Huasteca,Panadería,Nuevo León,Ciudad Apodaca,,,,,
Panadería De León,Panadería,Nuevo León,Ciudad Apodaca,81 2265 0662,,,4.7,44
Panadería El Castaño,Panadería,Nuevo León,Ciudad Apodaca,,,https://www.instagram.com/elcastanopan,4.6,2582
Panadería Las Almendras,Panadería,Nuevo León,Ciudad Apodaca,81 8386 2316,,,4.4,295
Panadería Las Almendras – Sucursal Madero,Panadería,Nuevo León,Ciudad Apodaca,844 801 0323,,,,0
Panadería Las Margaritas,Panadería,Nuevo León,Ciudad Apodaca,81 1800 9935,,,4.4,319
Panadería MAGDA,Panadería,Nuevo León,Ciudad Apodaca,81 8312 1655,,,4.8,3393
Panadería México,Panadería,Nuevo León,Ciudad Apodaca,,,,4.4,19
Panadería Paloma Mía,Panadería,Nuevo León,Ciudad Apodaca,0,,https://www.facebook.com/Panaderiapalomamia,4.9,54
Panadería y Pastelería Gama,Panadería,Nuevo León,Ciudad Apodaca,81 1351 9004,,,4.4,334
Panadería y Pastelería La Suprema S.A. de C.V.,Panadería,Nuevo León,Ciudad Apodaca,81 8134 1434,,http://www.pastelerialasuprema.com.mx,4.4,508
Pastelería Lety Apodaca Centro,Panadería,Nuevo León,Ciudad Apodaca,81 8212 8112,,http://www.pastelerialety.com,4.4,767
Pastelerías Panyolí Apodaca Nave 01,Panadería,Nuevo León,Ciudad Apodaca,81 3539 8381,,http://panyoli.com.mx,4.2,44
Pastelerías Suspiros,Panadería,Nuevo León,Ciudad Apodaca,,,,5,1
Kesos Y Kosas Palmas,Queso/Quesería,Nuevo León,Ciudad Apodaca,81 1870 9292,,https://kesosykosas.org,4.4,1536
Kesos y Kosas Pueblo Nuevo,Queso/Quesería,Nuevo León,Ciudad Apodaca,81 8145 4565,,http://www.kesosykosas.com,4.2,1902
Los Tres Carnales,Queso/Quesería,Nuevo León,Ciudad Apodaca,81 8600 6440,,,4.7,23
Quesos Chi-K Mezquital,Queso/Quesería,Nuevo León,Ciudad Apodaca,81 1351 2409,,http://www.quesoschik.com,4.7,677
Quesos Don Abel,Queso/Quesería,Nuevo León,Ciudad Apodaca,81 2350 5838,,,4,32
Quesos de Veracruz,Queso/Quesería,Nuevo León,Ciudad Apodaca,,,,,0
Quesos del Mezquital,Queso/Quesería,Nuevo León,Ciudad Apodaca,,,https://www.facebook.com/quesosdelmezquital,4.7,137
Quesos y ofertas del primito,Queso/Quesería,Nuevo León,Ciudad Apodaca,81 8314 4431,,http://quesos-y-ofertas.negocio.site,4.4,475
Gelow Apodaca,Yogurt,Nuevo León,Ciudad Apodaca,81 2136 0005,,http://www.gelow.com.mx,4.5,678
Gelow Huinala,Yogurt,Nuevo León,Ciudad Apodaca,,,,4.5,79
Helados Sultana Ebanos,Yogurt,Nuevo León,Ciudad Apodaca,81 8378 1400,,http://www.heladossultana.com.mx,4.3,821
LAFY yogurt bar,Yogurt,Nuevo León,Ciudad Apodaca,,,,4.5,42
Multicomercial Apodaca,Yogurt,Nuevo León,Ciudad Apodaca,81 3067 4770,,https://www.multicomercial.mx,4.5,593
Natural Fruit,Yogurt,Nuevo León,Ciudad Apodaca,81 1363 1622,,,3.4,43
Nieve De yoghurt,Yogurt,Nuevo León,Ciudad Apodaca,,,,,0
O-MART Korean Oriental Market,Yogurt,Nuevo León,Ciudad Apodaca,81 2018 1731,,,4.5,495
Plaza Sendero Apodaca,Yogurt,Nuevo León,Ciudad Apodaca,81 8043 0229,,,4.4,19168
Quesos MG,Yogurt,Nuevo León,Ciudad Apodaca,81 8386 0293,,,4.6,57
Velatta Nieves de Yogurt Y Más,Yogurt,Nuevo León,Ciudad Apodaca,81 3550 9448,,,5,11
"VitaWellness (Kefir, Caldo de huesos y Yogurt Griego)",Yogurt,Nuevo León,Ciudad Apodaca,,,https://www.facebook.com/share/14LkmTKYgkk/?mibextid=wwXIfr,5,13
Yogufrüt,Yogurt,Nuevo León,Ciudad Apodaca,,,,3.9,14
Yoka's,Yogurt,Nuevo León,Ciudad Apodaca,81 8386 0702,,,4.4,847
Abarrotes Y Carniceria Casi,Carnicería,Nuevo León,Ciudad General Escobedo,8126256815,,,,
Abarrotes Y Carniceria El Pajaro Loco,Carnicería,Nuevo León,Ciudad General Escobedo,,,,,
Abarrotes Y Carniceria El Remate,Carnicería,Nuevo León,Ciudad General Escobedo,8136338392,,,,
Abarrotes Y Carniceria Gonzalez,Carnicería,Nuevo León,Ciudad General Escobedo,,,,,
Abarrotes Y Carniceria Guerrero,Carnicería,Nuevo León,Ciudad General Escobedo,,,,,
Abarrotes Y Carniceria La Patrona,Carnicería,Nuevo León,Ciudad General Escobedo,,,,,
Abarrotes Y Carniceria Lopez,Carnicería,Nuevo León,Ciudad General Escobedo,,,,,
Abarrotes Y Carniceria Mariely,Carnicería,Nuevo León,Ciudad General Escobedo,,,,,
Abarrotes Y Carniceria Martinez,Carnicería,Nuevo León,Ciudad General Escobedo,8182391061,,,,
Abarrotes Y Carniceria Pepon,Carnicería,Nuevo León,Ciudad General Escobedo,,,,,
Abarrotes Y Carniceria R F,Carnicería,Nuevo León,Ciudad General Escobedo,,,,,
Abarrotes Y Carniceria Ramos,Carnicería,Nuevo León,Ciudad General Escobedo,,,,,
Abarrotes Y Carniceria Ruby,Carnicería,Nuevo León,Ciudad General Escobedo,8119534331,,,,
Abarrotes Y Carniceria Tory,Carnicería,Nuevo León,Ciudad General Escobedo,,,,,
Abarrotes Y Carniceria Toño,Carnicería,Nuevo León,Ciudad General Escobedo,8129744655,,,,
Abarrotrs Y Carniceria Ortega,Carnicería,Nuevo León,Ciudad General Escobedo,,,,,
CARNES LA HACIENDA,Carnicería,Nuevo León,Ciudad General Escobedo,81 1550 3913,,http://website-2302396408082551484138-butchershop.negocio.site,4.6,31
CORTES FINOS LOS VIEJONES,Carnicería,Nuevo León,Ciudad General Escobedo,81 2908 4684,,https://www.facebook.com/cflosviejones,4.6,13
Capiros super& carnes,Carnicería,Nuevo León,Ciudad General Escobedo,,,,4.6,28
Carnes Cantu Escobedo,Carnicería,Nuevo León,Ciudad General Escobedo,81 8901 3230,,,4.1,61
Carnes Chapa Premium,Carnicería,Nuevo León,Ciudad General Escobedo,81 4197 5333,,https://www.facebook.com/profile.php?id=61574843602751,4.8,13
Carniceria,Carnicería,Nuevo León,Ciudad General Escobedo,8180581228,,,,
Carniceria Balcones,Carnicería,Nuevo León,Ciudad General Escobedo,,,,,
Carnicería El Rey Norteño,Carnicería,Nuevo León,Ciudad General Escobedo,,,,4.8,67
Carnicería La Esmeralda,Carnicería,Nuevo León,Ciudad General Escobedo,81 8384 0282,,,4.8,140
Carnicería Mariscal,Carnicería,Nuevo León,Ciudad General Escobedo,81 1987 6632,,https://m.facebook.com/Carniceria-Mariscal-159320018339707,4.4,94
Carnicería Martínez,Carnicería,Nuevo León,Ciudad General Escobedo,81 8384 6529,,,4.6,123
Carnicería Santos Suc. Benito Juárez,Carnicería,Nuevo León,Ciudad General Escobedo,81 2669 1384,,,4.4,123
Carnicería Toño,Carnicería,Nuevo León,Ciudad General Escobedo,81 2974 4655,,,4.6,159
Delicarnes,Carnicería,Nuevo León,Ciudad General Escobedo,81 3912 9002,,,4.5,1947
Delicarnes 🥩,Carnicería,Nuevo León,Ciudad General Escobedo,81 8307 2088,,,4.4,386
GM Super Carnes - San Francisco,Carnicería,Nuevo León,Ciudad General Escobedo,81 1933 4001,,http://www.gmsupercarnes.com,4.3,362
GM Super Carnes Escobedo,Carnicería,Nuevo León,Ciudad General Escobedo,81 8397 1330,,https://www.gmsupercarnes.com,4.4,684
GM Súper Carnes - Raúl Salinas,Carnicería,Nuevo León,Ciudad General Escobedo,81 1180 5328,,https://www.gmsupercarnes.com,4.6,258
JT CARNES suc. Escobedo,Carnicería,Nuevo León,Ciudad General Escobedo,81 1087 8129,,http://www.jtcarnes.com,4.7,115
San Ángel Beef Choice,Carnicería,Nuevo León,Ciudad General Escobedo,81 2493 6363,,,4.4,31
Súper Carnes NG,Carnicería,Nuevo León,Ciudad General Escobedo,81 2261 9742,,,4.3,53
"Bodega Central de Alimentos, S.A. de C.V.",Leche,Nuevo León,Ciudad General Escobedo,81 8397 1133,,https://centraldealimentos.com.mx,4.5,209
Comercializadora de Materias Primas LÓPEZ (dulcería),Leche,Nuevo León,Ciudad General Escobedo,81 8307 7958,,,4.5,422
"DTodo desechables, dulceria y mas",Leche,Nuevo León,Ciudad General Escobedo,81 8016 8173,,,4.4,10
Distribuidora De Productos Lacteos,Leche,Nuevo León,Ciudad General Escobedo,8110473841,,,,
Dulcería Las Torres,Leche,Nuevo León,Ciudad General Escobedo,81 1606 2152,,https://linktr.ee/dulcerialastorres,4.2,23
H-E-B Escobedo,Leche,Nuevo León,Ciudad General Escobedo,81 8153 1450,,https://www.heb.com.mx,4.3,5100
LA COLMENA,Leche,Nuevo León,Ciudad General Escobedo,81 8397 1197,,,4.6,325
Lacmeg Distribuidora De Lácteos Y Carnes Frías,Leche,Nuevo León,Ciudad General Escobedo,81 2235 3963,,,5,1
Materias Primas Loredo Suc.Escobedo,Leche,Nuevo León,Ciudad General Escobedo,81 2437 0481,,,5,1
Salchichonería la Estrella,Leche,Nuevo León,Ciudad General Escobedo,81 8232 0757,,,4.7,152
Distribuidor De Lácteos Y Carnes Frías Ramos,Lácteos,Nuevo León,Ciudad General Escobedo,,,,4.6,13
Garcia Alimentos S.A. de C.V. CEDIS Escobedo,Lácteos,Nuevo León,Ciudad General Escobedo,81 8030 9160,,https://garcialimentos.com,4.3,16
Industrias Alimentarias de Monterrey S.A,Lácteos,Nuevo León,Ciudad General Escobedo,81 8901 0817,,http://iamsa.mx,5,1
Lyncott,Lácteos,Nuevo León,Ciudad General Escobedo,81 8384 9738,,,3.9,21
Sr Natural (Galletas),Lácteos,Nuevo León,Ciudad General Escobedo,,,,3,8
Trophe Ingredients,Lácteos,Nuevo León,Ciudad General Escobedo,81 8154 0900,,http://www.trophe.mx,4.4,46
Coyol Pasteleria Y Panaderia,Panadería,Nuevo León,Ciudad General Escobedo,,,,,
La Mundialita Panadería,Panadería,Nuevo León,Ciudad General Escobedo,81 1100 8115,,,4.5,22
La Pastelería de Gerónimo Escobedo,Panadería,Nuevo León,Ciudad General Escobedo,,,https://www.facebook.com/share/1FAnx8fuNc/?mibextid=wwXIfr,4,70
PANADERÍA Los Poblanos,Panadería,Nuevo León,Ciudad General Escobedo,81 3673 5162,,,4.8,56
PANADERÍA RICO AROMA,Panadería,Nuevo León,Ciudad General Escobedo,81 8657 5476,,,4.8,19
PANADERÍA ZOYLA (LA ORIGINAL DESDE 1976),Panadería,Nuevo León,Ciudad General Escobedo,,,,5,7
Panaderia,Panadería,Nuevo León,Ciudad General Escobedo,,,,,
Panaderia Arxima,Panadería,Nuevo León,Ciudad General Escobedo,,,,,
Panaderia Baltazar,Panadería,Nuevo León,Ciudad General Escobedo,8112417042,,,,
Panaderia Beny,Panadería,Nuevo León,Ciudad General Escobedo,,,,,
Panaderia Carrusel,Panadería,Nuevo León,Ciudad General Escobedo,,,,,
Panaderia Castillo,Panadería,Nuevo León,Ciudad General Escobedo,8114757238,,,,
Panaderia Cerda,Panadería,Nuevo León,Ciudad General Escobedo,8127329566,,,,
Panaderia Chavez,Panadería,Nuevo León,Ciudad General Escobedo,,,,,
Panaderia Correcaminos,Panadería,Nuevo León,Ciudad General Escobedo,8118545025,,,,
Panaderia Deleite,Panadería,Nuevo León,Ciudad General Escobedo,8121347755,,,,
Panaderia El Gogo,Panadería,Nuevo León,Ciudad General Escobedo,8140504169,,,,
Panaderia El Javi,Panadería,Nuevo León,Ciudad General Escobedo,8112975808,,,,
Panaderia el castaño Escobedo,Panadería,Nuevo León,Ciudad General Escobedo,81 3607 6091,,,4.5,39
Panadería Castillo,Panadería,Nuevo León,Ciudad General Escobedo,81 8384 7924,,,4.5,54
Panadería Deleite Pastelería,Panadería,Nuevo León,Ciudad General Escobedo,81 2134 8182,,,4.4,33
Panadería Maná,Panadería,Nuevo León,Ciudad General Escobedo,81 3427 3581,,https://www.facebook.com/panaderia.mana18,4.4,198
"Panadería Y abarrotes ""La Güera""",Panadería,Nuevo León,Ciudad General Escobedo,81 8459 9765,,,4.4,82
Panadería de julio,Panadería,Nuevo León,Ciudad General Escobedo,,,,5,1
Panadería y Cafetería Rafi,Panadería,Nuevo León,Ciudad General Escobedo,,,,5,4
Pastelería Caty Escobedo,Panadería,Nuevo León,Ciudad General Escobedo,81 8058 2587,,https://pasteleriacaty.com,4.4,450
Pastelería Lety Escobedo,Panadería,Nuevo León,Ciudad General Escobedo,81 8242 2000,,http://www.pastelerialety.com,4.5,1350
Pastelería Lety Monterreal,Panadería,Nuevo León,Ciudad General Escobedo,81 8242 2000,,https://www.pastelerialety.com,4.5,320
Pastelería Nico's,Panadería,Nuevo León,Ciudad General Escobedo,81 2163 0909,,,4.5,88
Pastelería San José Sucursal Escobedo,Panadería,Nuevo León,Ciudad General Escobedo,81 8307 8186,,http://www.pasteleriasanjose.com,4.6,2384
Pastelerías Panyolí Raúl Salinas,Panadería,Nuevo León,Ciudad General Escobedo,,,http://www.panyoli.com.mx,4.5,26
Postreria Isa Escobedo,Panadería,Nuevo León,Ciudad General Escobedo,81 8470 7825,,,4.3,18
Venta de pan de RAFI,Panadería,Nuevo León,Ciudad General Escobedo,,,,5,1
Kesos y Kosas,Queso/Quesería,Nuevo León,Ciudad General Escobedo,81 4067 8016,,http://www.kesosykosas.org,4.4,2143
La Queseria de Ozuluama Escobedo,Queso/Quesería,Nuevo León,Ciudad General Escobedo,,,,3.9,552
QUESOS Y OFERTAS DEL PRIMITO,Queso/Quesería,Nuevo León,Ciudad General Escobedo,81 8384 1927,,https://www.facebook.com/quesosoferdprimito,4.3,16
Quesos y ofertas del primito suc miravista,Queso/Quesería,Nuevo León,Ciudad General Escobedo,,,,4.9,8
Salchichonería y Quesería La Tremenda,Queso/Quesería,Nuevo León,Ciudad General Escobedo,81 2570 3731,,https://wa.me/5218120801529,4.5,35
Dulce Deseo,Yogurt,Nuevo León,Ciudad General Escobedo,771 339 4573,,https://web.facebook.com/dulcedeseo123,4.2,17
Frutal Yogurt,Yogurt,Nuevo León,Ciudad General Escobedo,81 8057 8590,,,4,148
Frutal Yogurt Escobedo,Yogurt,Nuevo León,Ciudad General Escobedo,,,https://www.facebook.com/Frutal-Yogurth-Escobedo-Av-Las-Torres-554590391360656,4.5,500
Frutal Yogurt Suc. Pinos,Yogurt,Nuevo León,Ciudad General Escobedo,,,,4.7,9
Mi yogurt,Yogurt,Nuevo León,Ciudad General Escobedo,,,,,0
Nieve Estilo Jalisco Maxi,Yogurt,Nuevo León,Ciudad General Escobedo,81 1049 3345,,http://nieveestilojalisco.negocio.site,4.5,61
Productos del Campo UANL,Yogurt,Nuevo León,Ciudad General Escobedo,81 8058 0702,,,4.2,51
"Queens, nieve de yogurt, crepas y más",Yogurt,Nuevo León,Ciudad General Escobedo,,,http://www.facebook.com/Queens.NieveDeYogurt,4.5,10
Tiendita la sandía,Yogurt,Nuevo León,Ciudad General Escobedo,81 2261 5679,,,4.5,79
Yogufrut,Yogurt,Nuevo León,Ciudad General Escobedo,,,,3.7,50
Yogufrut Plaza Bella Anahuac,Yogurt,Nuevo León,Ciudad General Escobedo,,,https://www.facebook.com/yfyogufrut,3.6,57
Yoko Frozen Yogurt,Yogurt,Nuevo León,Ciudad General Escobedo,81 1298 7321,,,3.6,12
Panaderia Linares,Panadería,Nuevo León,Ciudad Santa Catarina,81 8388 6070,,,4.5,384
Panadería Linares Suc. Martires de Cananea,Panadería,Nuevo León,Ciudad Santa Catarina,81 2470 0666,,,4.5,71
Carne Seca De Res La Tradicional Del Blanquillo SA De Cv,Carnicería,Nuevo León,Congregación Calles,826 263 8566,,,4.2,60
Carne Seca La Principal,Carnicería,Nuevo León,Congregación Calles,826 263 8777,,,4.5,45
"Panadería y pastelería Linares,",Panadería,Nuevo León,García,81 3715 7929,,,4.8,4
Abarrotes Y Carniceria Carriaga,Carnicería,Nuevo León,Guadalupe,,,,,
Abarrotes Y Carniceria Chava,Carnicería,Nuevo León,Guadalupe,,eder071182@gmail.com,,,
Abarrotes Y Carniceria Don Arturo,Carnicería,Nuevo León,Guadalupe,,,,,
Abarrotes Y Carniceria Hermanos Mora,Carnicería,Nuevo León,Guadalupe,,,,,
Abarrotes Y Carniceria Lopez,Carnicería,Nuevo León,Guadalupe,,,,,
Abarrotes Y Carniceria Santa Clara,Carnicería,Nuevo León,Guadalupe,,,,,
Abarrotes Y Super Carniceria Don Jose,Carnicería,Nuevo León,Guadalupe,8183411932,,,,
Balderas Super Carnes,Carnicería,Nuevo León,Guadalupe,81 8394 4610,,,4.7,484
CARNES FINAS SAN JUAN LA FE,Carnicería,Nuevo León,Guadalupe,81 8341 9114,,http://www.carnessanjuan.com,4.6,1344
CARNES FINAS SAN JUAN LINDA VISTA,Carnicería,Nuevo León,Guadalupe,81 8379 0402,,http://www.carnessanjuan.com/lindavista.html,4.6,1021
Carnes El Legado,Carnicería,Nuevo León,Guadalupe,81 1797 1910,,,4.6,11
Carnes Finas San Juan,Carnicería,Nuevo León,Guadalupe,81 8398 5288,,http://www.carnessanjuan.com,4.6,1137
Carnes LB,Carnicería,Nuevo León,Guadalupe,81 2235 5426,,https://www.facebook.com/Carnes-LB-106230382023793,4.8,10
CarnesUno,Carnicería,Nuevo León,Guadalupe,81 2459 1053,,,4.6,173
Carniceria,Carnicería,Nuevo León,Guadalupe,,,,,
Carniceria  Gabriel,Carnicería,Nuevo León,Guadalupe,,,,,
"Carniceria ""La Higiénica""",Carnicería,Nuevo León,Guadalupe,81 8398 0550,,,4.6,71
Carniceria Alcon,Carnicería,Nuevo León,Guadalupe,,contadorgpe@carniceriaalcon.mx,,,
Carniceria Castañon,Carnicería,Nuevo León,Guadalupe,,,,,
Carniceria Cjg,Carnicería,Nuevo León,Guadalupe,,jonathan.tjg22@gmail.com,,,
Carnicería Grimaldo,Carnicería,Nuevo León,Guadalupe,81 8327 0671,,,4.6,247
Carnicería María Cristina (suc Marcelino Juárez),Carnicería,Nuevo León,Guadalupe,81 8327 7389,,https://www.carniceriamariacristina.com/sucursales,4.5,326
Carnicería María Cristina - Villa de San Miguel,Carnicería,Nuevo León,Guadalupe,81 8364 3684,,https://www.carniceriamariacristina.com/sucursales,4.5,877
Carnicería Murillo Pedregal de Linda Vista,Carnicería,Nuevo León,Guadalupe,81 1003 1423,,https://www.facebook.com/SCM-Pedregal-de-Lindavista-102132137838464,4.6,182
Carnicería en Monterrey | Carnicería Alcon Supermercado,Carnicería,Nuevo León,Guadalupe,81 8317 0334,,https://carniceriaalcon.mx,4.3,211
Ga Carnes Selectas,Carnicería,Nuevo León,Guadalupe,81 1431 1800,,,4.2,65
Regio Carnes,Carnicería,Nuevo León,Guadalupe,81 2745 1124,,,4.4,51
Super CARNES SEPÚLVEDA,Carnicería,Nuevo León,Guadalupe,81 8341 0378,,,4.6,57
Súper Carnes Nuevo León,Carnicería,Nuevo León,Guadalupe,81 8326 1534,,,4.9,28
Súper Carnes Ortíz,Carnicería,Nuevo León,Guadalupe,,,https://www.facebook.com/share/16BHudYSdZ,4.4,85
Súper Carnicería Sepúlveda,Carnicería,Nuevo León,Guadalupe,81 8327 4527,,,4.7,987
Abarrotes Liconsa,Leche,Nuevo León,Guadalupe,,,,4.2,22
Central de Abastos,Leche,Nuevo León,Guadalupe,81 8317 1000,,http://www.abastosmonterrey.com.mx,4.4,9544
Dulcería la Silla,Leche,Nuevo León,Guadalupe,81 2936 9782,,,4.6,11
"El Edén, Local 46",Leche,Nuevo León,Guadalupe,,,https://eledenmx.com,4.7,295
Jival Alimentos,Leche,Nuevo León,Guadalupe,81 8323 2044,,,4.6,13
Lechería liconsa,Leche,Nuevo León,Guadalupe,,,,4,1
Martinez Leal,Leche,Nuevo León,Guadalupe,81 1916 3148,,,,0
Mercado Abastos Guadalupe,Leche,Nuevo León,Guadalupe,,,,4.6,442
